UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,PEO7ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL1A,LEVEL1B,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,CALSYS,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,OPENADMP,NONCRDT1,NONCRDT2,NONCRDT3,NONCRDT4,NONCRDT5,NONCRDT6,NONCRDT7,NONCRDT8,NONCRDT9,VET1,VET2,VET3,VET4,VET5,VET9,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO521,SLO53,SLO6,SLO7,SLOA,SLO8,SLO81,SLO82,SLO83,SLOB,SLO9,YRSCOLL,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBRES1,LIBRES2,LIBRES3,LIBRES4,LIBRES5,LIBRES6,LIBRES9,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,PRMPGM,DSTNUGC,DSTNUGP,DSTNUGN,DSTNGC,DSTNGP,DSTNGN,DISTCRS,DISTPGS,DSTNCED1,DSTNCED2,DSTNCED3,DISTNCED,DISAB,XDISABPC,DISABPCT,ALLONCAM,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4 
100858,0,1,1,0,0,0,0,1,2,0,-2,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,1,1,0,1,1,1,1,0,2,2,"R",8.69 ,2,1,1,"R",4495,2,"A",.,"R",9294,"R",5704,"A",.,"R",50,"R",60,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130
100937,0,1,0,0,0,0,0,4,-2,-2,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,2,1,2,2,-2,-2,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,2,"R",17.48 ,2,2,1,"R",1418,2,"A",.,"R",8200,"R",5800,"A",.,"R",50,"A",.,1,1,0,0,0,0,0,1,368,1,368,1,368,1,368
101028,1,1,-2,0,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,"A",. ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101116,0,1,0,0,0,0,0,2,-2,-2,-2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,1,1,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,1,"A",. ,2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",75,"R",75,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101143,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,2,"R",5.14 ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101161,1,1,-2,0,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,1,"R",575,1,"R",15,"A",.,"A",.,"R",5800,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101189,0,1,0,0,0,0,0,4,-2,-2,74,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,"R",11.00 ,2,2,1,"R",704,1,"R",20,"R",3980,"R",4250,"A",.,"R",25,"R",75,1,0,1,0,0,0,0,1,315,1,334,1,334,2,-2
101240,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,2,"R",3.81 ,2,1,1,"R",110,1,"R",15,"A",.,"A",.,"R",4800,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101277,1,0,-2,0,0,0,0,2,-2,-2,-2,1,0,1,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,7,1,1,-2,2,2,-2,-2,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,1,-2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,-2,-2,-2,0,0,0,-2,1,2,1,"A",. ,2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
101286,1,1,-2,0,0,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101295,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,1,"R",180,1,"R",12,"R",2800,"R",2100,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101301,1,1,-2,0,0,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101365,0,1,0,0,0,0,0,3,-2,-2,-2,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,1,"A",. ,2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"R",0,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101435,0,1,0,0,0,0,0,4,-2,-2,71,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,2,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0,1,0,0,2,1,"A",. ,2,2,1,"R",679,1,"R",19,"A",.,"A",.,"R",10772,"R",0,"R",0,1,1,0,0,0,0,0,1,171,1,378,1,378,1,378
101453,0,1,0,0,1,0,1,4,-2,-2,74,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,1,"A",. ,2,2,1,"R",31,3,"A",.,"R",4000,"A",.,"A",.,"R",35,"R",35,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101462,1,1,-2,0,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,"A",. ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101471,1,1,-2,0,1,1,0,1,2,0,-2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,-2,-2,-2,0,0,0,-2,1,2,1,"A",. ,2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
101480,0,1,0,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,-2,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,"R",6.35 ,2,1,1,"R",2652,2,"A",.,"R",4000,"R",3400,"A",.,"R",35,"R",35,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111
101505,1,1,-2,1,1,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,0,0,2,0,0,0,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101514,1,1,-2,1,1,0,0,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101569,1,1,-2,0,1,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,1,"R",156,1,"R",17,"R",3000,"R",1760,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101587,0,1,0,0,0,0,1,1,2,0,-2,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,-2,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,2,1,"A",. ,2,1,1,"R",927,2,"A",.,"R",4760,"R",3060,"A",.,"R",30,"R",40,1,1,0,0,0,0,1,1,146,1,146,1,146,1,146
101602,1,1,-2,0,0,0,0,1,2,9,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,2,0,0,0,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,1,"R",94,3,"A",.,"R",4000,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101648,0,1,-2,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,"A",. ,1,1,1,"R",500,1,"R",21,"A",.,"A",.,"R",4950,"R",30,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101675,0,1,0,0,0,0,0,4,-2,-2,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,-2,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,2,1,"R",846,1,"R",19,"R",4182,"R",3388,"A",.,"R",0,"A",.,1,1,0,0,0,0,0,1,161,1,161,1,161,1,161
101693,1,1,0,0,0,0,0,4,-2,-2,75,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,"R",4.60 ,2,2,1,"R",684,1,"R",19,"R",5688,"R",4480,"A",.,"R",25,"R",25,1,0,1,0,0,0,0,2,-2,1,334,1,334,1,334
101709,0,1,0,0,0,0,0,1,2,0,-2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,2,2,"R",11.78 ,2,1,1,"R",1337,2,"A",.,"R",6595,"R",3540,"A",.,"R",35,"R",35,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146
101736,1,1,-2,0,1,0,0,1,2,0,-2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,2,1,1,0,-2,-2,-2,1,1,1,-2,0,2,1,"A",. ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
101879,0,1,0,0,0,0,1,1,2,0,-2,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,-2,-2,2,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,2,2,"R",7.14 ,2,1,1,"R",2246,2,"A",.,"R",3530,"R",4200,"A",.,"R",0,"R",0,1,1,0,0,0,0,0,1,106,1,135,1,135,1,135
101897,1,1,-2,1,1,0,1,1,2,0,-2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,-2,-2,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,0,-2,-2,-2,1,0,1,-2,0,2,1,"A",. ,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,"R",0,"A",.,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
