"Original code","Original title","Action","Text change","Current code","Current title"
="60.0518","Forensic Psychiatry Residency Program.","Moved to","Yes",="61.2405","Forensic Psychiatry Fellowship Program."
="60.0519","Gastroenterology Residency Program.","Moved to","Yes",="61.0807","Gastroenterology Fellowship Program."
="60.0520","Geriatric Medicine Residency Program.","Moved to","Yes",="61.0203","Geriatric Medicine Fellowship Program."
="60.0521","Geriatric Psychiatry Residency Program.","Moved to","Yes",="61.2406","Geriatric Psychiatry Fellowship Program."
="60.0522","Gynecologic Oncology Residency Program.","Moved to","Yes",="61.1302","Gynecologic Oncology Fellowship Program."
="60.0523","Hematological Pathology Residency Program.","Moved to","Yes",="61.1808","Hematological Pathology Fellowship Program."
="60.0524","Hematology Residency Program.","Moved to","Yes",="61.0808","Hematology Fellowship Program."
="60.0525","Hospice and Palliative Medicine Residency Program.","Moved to","Yes",="61.0205","Hospice and Palliative Medicine Fellowship Program."
="60.0526","Immunopathology Residency Program.","Moved to","Yes",="61.1809","Immunopathology Fellowship Program."
="60.0527","Infectious Disease Residency Program.","Moved to","Yes",="61.0810","Infectious Disease Fellowship Program."
="60.0528","Interventional Cardiology Residency Program.","Moved to","Yes",="61.0811","Interventional Cardiology Fellowship Program."
="60.0529","Laboratory Medicine Residency Program.","Moved to","Yes",="61.1810","Laboratory Medicine Fellowship Program."
="60.0530","Maternal and Fetal Medicine Residency Program.","Moved to","Yes",="61.1303","Maternal and Fetal Medicine Fellowship Program."
="60.0531","Medical Biochemical Genetics Residency Program.","Moved to","Yes",="61.0904","Medical Biochemical Genetics Residency Program."
="60.0532","Medical Microbiology Residency Program.","Moved to","Yes",="61.1811","Medical Microbiology Fellowship Program."
="60.0533","Medical Nuclear Physics Residency Program.","Moved to","No",="61.2605","Medical Nuclear Physics Residency Program."
="60.0534","Medical Oncology Residency Program.","Moved to","Yes",="61.0813","Medical Oncology Fellowship Program."
="60.0535","Medical Toxicology Residency Program.","Moved to","Yes",="61.0208","Medical Toxicology Fellowship Program."
="60.0536","Molecular Genetic Pathology Residency Program.","Moved to","Yes",="61.1812","Molecular Genetic Pathology Fellowship Program."
="60.0537","Musculoskeletal Oncology Residency Program.","Moved to","Yes",="61.1502","Musculoskeletal Oncology Fellowship Program."
="60.0538","Neonatal-Perinatal Medicine Residency Program.","Moved to","Yes",="61.1905","Neonatal-Perinatal Medicine Fellowship Program."
="60.0539","Nephrology Residency Program.","Moved to","Yes",="61.0812","Nephrology Fellowship Program."
="60.0540","Neurodevelopmental Disabilities Residency Program.","Moved to","Yes",="61.1106","Neurodevelopmental Disabilities Fellowship Program."
="60.0541","Neuromuscular Medicine Residency Program.","Moved to","Yes",="61.0209","Neuromuscular Medicine Fellowship Program."
="60.0542","Neuropathology Residency Program.","Moved to","Yes",="61.1813","Neuropathology Fellowship Program."
="60.0543","Neuroradiology Residency Program.","Moved to","Yes",="61.2607","Neuroradiology Fellowship Program."
="60.0544","Neurotology Residency Program.","Moved to","Yes",="61.1702","Neurotology Fellowship Program."
="60.0545","Nuclear Radiology Residency Program.","Moved to","Yes",="61.2608","Nuclear Radiology Fellowship Program."
="60.0546","Orthopedic Sports Medicine Residency Program.","Moved to","Yes",="61.1503","Orthopedic Sports Medicine Fellowship Program."
="60.0547","Orthopedic Surgery of the Spine Residency Program.","Moved to","Yes",="61.1504","Orthopedic Surgery of the Spine Fellowship Program."
="60.0548","Pain Medicine Residency Program.","Moved to","Yes",="61.0210","Pain Medicine Fellowship Program."
="60.0549","Pediatric Cardiology Residency Program.","Moved to","Yes",="61.1906","Pediatric Cardiology Fellowship Program."
="60.0550","Pediatric Critical Care Medicine Residency Program.","Moved to","Yes",="61.1907","Pediatric Critical Care Medicine Fellowship Program."
="60.0551","Pediatric Dermatology Residency Program.","Moved to","Yes",="61.0503","Pediatric Dermatology Fellowship Program."
="60.0552","Pediatric Emergency Medicine Residency Program.","Moved to","Yes",="61.1908","Pediatric Emergency Medicine Fellowship Program."
="60.0553","Pediatric Endocrinology Residency Program.","Moved to","Yes",="61.1909","Pediatric Endocrinology Fellowship Program."
="60.0554","Pediatric Gastroenterology Residency Program.","Moved to","Yes",="61.1910","Pediatric Gastroenterology Fellowship Program."
="60.0555","Pediatric Hematology-Oncology Residency Program.","Moved to","Yes",="61.1911","Pediatric Hematology-Oncology Fellowship Program."
="60.0556","Pediatric Infectious Diseases Residency Program.","Moved to","Yes",="61.1912","Pediatric Infectious Diseases Fellowship Program."
="60.0557","Pediatric Nephrology Residency Program.","Moved to","Yes",="61.1913","Pediatric Nephrology Fellowship Program."
="60.0558","Pediatric Orthopedics Residency Program.","Moved to","Yes",="61.1505","Pediatric Orthopedics Fellowship Program."
="60.0559","Pediatric Otolaryngology Residency Program.","Moved to","Yes",="61.1703","Pediatric Otolaryngology Fellowship Program."
="60.0560","Pediatric Pathology Residency Program.","Moved to","Yes",="61.1814","Pediatric Pathology Fellowship Program."
="60.0561","Pediatric Pulmonology Residency Program.","Moved to","Yes",="61.1914","Pediatric Pulmonology Fellowship Program."
="60.0562","Pediatric Radiology Residency Program.","Moved to","Yes",="61.2609","Pediatric Radiology Fellowship Program."
="60.0563","Pediatric Rehabilitation Medicine Residency Program.","Moved to","Yes",="61.2003","Pediatric Rehabilitation Medicine Fellowship Program."
="60.0564","Pediatric Rheumatology Residency Program.","Moved to","Yes",="61.1915","Pediatric Rheumatology Fellowship Program."
="60.0565","Pediatric Surgery Residency Program.","Moved to","Yes",="61.2705","Pediatric Surgery Fellowship Program."
="60.0566","Pediatric Transplant Hepatology Residency Program.","Moved to","Yes",="61.1917","Pediatric Transplant Hepatology Fellowship Program."
="60.0567","Pediatric Urology Residency Program.","Moved to","Yes",="61.2802","Pediatric Urology Fellowship Program."
="60.0568","Physical Medicine and Rehabilitation/Psychiatry Residency Program.","Deleted","No",="60.0568","Deleted, report under 61.0199"
="60.0569","Plastic Surgery Within the Head and Neck Residency Program.","Moved to","Yes",="61.2103","Plastic Surgery Within the Head and Neck Fellowship Program."
="60.0570","Psychosomatic Medicine Residency Program.","Moved to","Yes",="61.2404","Consultation-Liaison Psychiatry Fellowship Program."
="60.0571","Pulmonary Disease Residency Program.","Moved to","Yes",="61.0814","Pulmonary Disease Fellowship Program."
="60.0572","Radioisotopic Pathology Residency Program.","Moved to","Yes",="61.1815","Radioisotopic Pathology Fellowship Program."
="60.0573","Reproductive Endocrinology/Infertility Residency Program.","Moved to","Yes",="61.1304","Reproductive Endocrinology/Infertility Fellowship Program."
="60.0574","Rheumatology Residency Program.","Moved to","Yes",="61.0816","Rheumatology Fellowship Program."
="60.0575","Sleep Medicine Residency Program.","Moved to","Yes",="61.0212","Sleep Medicine Fellowship Program."
="60.0576","Spinal Cord Injury Medicine Residency Program.","Moved to","Yes",="61.2002","Spinal Cord Injury Medicine Fellowship Program."
="60.0577","Sports Medicine Residency Program.","Moved to","Yes",="61.0213","Sports Medicine Fellowship Program."
="60.0578","Surgery of the Hand Residency Program.","Moved to","Yes",="61.0214","Surgery of the Hand Fellowship Program."
="60.0579","Surgical Critical Care Residency Program.","Moved to","Yes",="61.2706","Surgical Critical Care Fellowship Program."
="60.0580","Therapeutic Radiologic Physics Residency Program.","Moved to","No",="61.2611","Therapeutic Radiologic Physics Residency Program."
="60.0581","Transplant Hepatology Residency Program.","Moved to","Yes",="61.0818","Transplant Hepatology Fellowship Program."
="60.0582","Undersea and Hyperbaric Medicine Residency Program.","Moved to","Yes",="61.0216","Undersea and Hyperbaric Medicine Fellowship Program."
="60.0583","Vascular and Interventional Radiology Residency Program.","Moved to","Yes",="61.2612","Vascular and Interventional Radiology Fellowship Program."
="60.0584","Vascular Neurology Residency Program.","Moved to","Yes",="61.1107","Vascular Neurology Fellowship Program."
="60.0599","Medical Residency Programs - Subspecialty Certificates, Other.","Deleted","No",="60.0599","Deleted, report under 61"
="60.0601","Podiatric Medicine and Surgery - 24 Residency Program.","Deleted","No",="60.0601","Deleted, report under 61.2201"
="60.0602","Podiatric Medicine and Surgery - 36 Residency Program.","Deleted","No",="60.0602","Deleted, report under 61.2201"
